id,latitude,longitude
1,44.60132549702312,10.420951803830148
2,44.531414600763014,10.613399024970628
3,44.791942191687426,10.641597366049812
4,44.78815511005692,10.586406616626835
5,44.67303348091665,10.569153555372127
6,44.69171217962277,10.737799234846971
7,44.727181583570975,10.693369589143973
8,44.709594023447636,10.518000712288934
9,44.69200936161759,10.55071013642422
10,44.66283735456909,10.78538159198801
11,44.54340601240197,10.607549563567277
12,44.500746940858875,10.438331930293945
13,44.66870961329259,10.56449241267892
14,44.539978314055446,10.794475697429661
15,44.61958399525082,10.71340783631188
16,44.56978139786146,10.70033870191033
17,44.650183167290464,10.652296137871685
18,44.770541537713356,10.65226453792173
19,44.70941467829794,10.638691128353878
20,44.636953906502896,10.667934496590323
